s,AgentsInside,AgentsInsideMesh,ExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,FF1stFloor,TopExit,TopExit,Number_of_Deads,FED_max,FED_max_alive
 0.00000E+000,      60,      60,       0,      27,       0, 0.00000E+000, 0.00000E+000
 1.00000E+000,      60,      60,       0,      27,       0, 0.00000E+000, 0.00000E+000
 2.00000E+000,      60,      60,       0,      29,       1, 0.00000E+000, 0.00000E+000
 3.00000E+000,      60,      60,       0,      30,       3, 0.00000E+000, 0.00000E+000
 4.00000E+000,      60,      60,       0,      34,       4, 0.00000E+000, 0.00000E+000
 5.00000E+000,      60,      60,       0,      36,       5, 0.00000E+000, 0.00000E+000
 6.00000E+000,      60,      60,       0,      40,       6, 0.00000E+000, 0.00000E+000
 7.00000E+000,      59,      59,       1,      39,       6, 0.00000E+000, 0.00000E+000
 8.00000E+000,      55,      55,       5,      36,       6, 0.00000E+000, 0.00000E+000
 9.00000E+000,      53,      53,       7,      35,       6, 0.00000E+000, 0.00000E+000
 1.00000E+001,      51,      51,       9,      34,       6, 0.00000E+000, 0.00000E+000
 1.10000E+001,      48,      48,      12,      32,       6, 0.00000E+000, 0.00000E+000
 1.20000E+001,      46,      46,      14,      30,       6, 0.00000E+000, 0.00000E+000
 1.30000E+001,      46,      46,      14,      30,       6, 0.00000E+000, 0.00000E+000
 1.40000E+001,      46,      46,      14,      30,       6, 0.00000E+000, 0.00000E+000
 1.50000E+001,      45,      45,      15,      30,       6, 0.00000E+000, 0.00000E+000
 1.60000E+001,      43,      43,      17,      28,       6, 0.00000E+000, 0.00000E+000
 1.70000E+001,      42,      42,      18,      27,       6, 0.00000E+000, 0.00000E+000
 1.80000E+001,      42,      42,      18,      27,       7, 0.00000E+000, 0.00000E+000
 1.90000E+001,      41,      41,      19,      26,       7, 0.00000E+000, 0.00000E+000
 2.00000E+001,      40,      40,      20,      27,       7, 0.00000E+000, 0.00000E+000
 2.10000E+001,      40,      40,      20,      27,       7, 0.00000E+000, 0.00000E+000
 2.20000E+001,      40,      40,      20,      27,       7, 0.00000E+000, 0.00000E+000
 2.30000E+001,      39,      39,      21,      27,       8, 0.00000E+000, 0.00000E+000
 2.40000E+001,      36,      36,      24,      25,       8, 0.00000E+000, 0.00000E+000
 2.50000E+001,      34,      34,      26,      24,       8, 0.00000E+000, 0.00000E+000
 2.60000E+001,      33,      33,      27,      24,       8, 0.00000E+000, 0.00000E+000
 2.70000E+001,      31,      31,      29,      22,       8, 0.00000E+000, 0.00000E+000
 2.80000E+001,      30,      30,      30,      22,       8, 0.00000E+000, 0.00000E+000
 2.90000E+001,      30,      30,      30,      22,       8, 0.00000E+000, 0.00000E+000
 3.00000E+001,      28,      28,      32,      21,       8, 0.00000E+000, 0.00000E+000
 3.10000E+001,      26,      26,      34,      19,       8, 0.00000E+000, 0.00000E+000
 3.20000E+001,      25,      25,      35,      18,       8, 0.00000E+000, 0.00000E+000
 3.30000E+001,      25,      25,      35,      20,       8, 0.00000E+000, 0.00000E+000
 3.40000E+001,      23,      23,      37,      19,       8, 0.00000E+000, 0.00000E+000
 3.50000E+001,      21,      21,      39,      17,       8, 0.00000E+000, 0.00000E+000
 3.60000E+001,      19,      19,      41,      16,       8, 0.00000E+000, 0.00000E+000
 3.70000E+001,      17,      17,      43,      14,       8, 0.00000E+000, 0.00000E+000
 3.80000E+001,      16,      16,      44,      13,       8, 0.00000E+000, 0.00000E+000
 3.90000E+001,      15,      15,      45,      12,       8, 0.00000E+000, 0.00000E+000
 4.00000E+001,      14,      14,      46,      11,       8, 0.00000E+000, 0.00000E+000
 4.10000E+001,      12,      12,      48,       9,       8, 0.00000E+000, 0.00000E+000
 4.20000E+001,       9,       9,      51,       6,       8, 0.00000E+000, 0.00000E+000
 4.30000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.40000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.50000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.60000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.70000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.80000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 4.90000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.00000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.10000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.20000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.30000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.40000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.50000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.60000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.70000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.80000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 5.90000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
 6.00000E+001,       8,       8,      52,       5,       8, 0.00000E+000, 0.00000E+000
