s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter
EVAC_Time,AllAgents,MainEvacGrid,Exit1,Exit2,Exit3,Exit4,Exit1,Exit2,Exit3,Exit4
 0.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      17,      21
 1.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      17,      21
 2.20000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      17,      21
 3.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      17,      21
 4.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      18,      22
 5.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      20,      22
 6.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      20,      22
 7.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      20,      22
 8.00000E+000,      78,      78,       0,       0,       1,       1,       0,       0,      19,      21
 9.00000E+000,      76,      76,       0,       0,       3,       1,       0,       0,      19,      21
 1.02000E+001,      74,      74,       0,       0,       4,       2,       0,       0,      18,      20
 1.12000E+001,      72,      72,       0,       0,       5,       3,       0,       0,      17,      20
 1.22000E+001,      71,      71,       0,       0,       6,       3,       0,       0,      17,      20
 1.32000E+001,      67,      67,       0,       0,       8,       5,       0,       0,      17,      18
 1.42000E+001,      66,      66,       0,       0,       9,       5,       0,       0,      15,      19
 1.52000E+001,      64,      64,       0,       0,      10,       6,       0,       0,      15,      19
 1.62000E+001,      62,      62,       0,       0,      11,       7,       0,       0,      16,      18
 1.72000E+001,      60,      60,       0,       0,      13,       7,       0,       0,      16,      18
 1.82000E+001,      58,      58,       0,       0,      13,       9,       0,       0,      18,      16
 1.92000E+001,      56,      56,       0,       0,      14,      10,       0,       0,      18,      15
 2.02000E+001,      55,      55,       0,       0,      14,      11,       0,       0,      18,      15
 2.12000E+001,      53,      53,       0,       0,      15,      12,       0,       0,      16,      15
 2.22000E+001,      51,      51,       0,       0,      16,      13,       0,       0,      15,      15
 2.32000E+001,      48,      48,       0,       0,      17,      15,       0,       0,      15,      14
 2.42000E+001,      48,      48,       0,       0,      17,      15,       0,       0,      14,      15
 2.52000E+001,      48,      48,       0,       0,      17,      15,       0,       0,      15,      15
 2.62000E+001,      48,      48,       0,       0,      17,      15,       0,       0,      15,      16
 2.72000E+001,      47,      47,       0,       0,      17,      16,       0,       0,      16,      15
 2.82000E+001,      45,      45,       0,       0,      18,      17,       0,       0,      15,      15
 2.92000E+001,      45,      45,       0,       0,      18,      17,       0,       0,      13,      17
 3.02000E+001,      43,      43,       0,       0,      19,      18,       0,       0,      11,      17
 3.12000E+001,      42,      42,       0,       0,      19,      19,       0,       0,      13,      16
 3.22000E+001,      40,      40,       0,       0,      19,      21,       0,       0,      14,      14
 3.32000E+001,      40,      40,       0,       0,      19,      21,       0,       0,      15,      15
 3.42000E+001,      38,      38,       0,       0,      19,      23,       0,       0,      15,      13
 3.52000E+001,      37,      37,       0,       0,      19,      24,       0,       0,      15,      12
 3.62000E+001,      36,      36,       0,       0,      19,      25,       0,       0,      15,      11
 3.72000E+001,      35,      35,       0,       0,      20,      25,       0,       0,      13,      12
 3.80000E+001,      34,      34,       0,       0,      20,      26,       0,       1,      13,      11
 3.90000E+001,      33,      33,       0,       0,      20,      27,       0,       1,      12,      11
 4.00000E+001,      32,      32,       0,       0,      21,      27,       0,       1,      12,      11
 4.10000E+001,      30,      30,       0,       0,      22,      28,       0,       2,      11,      11
 4.20000E+001,      28,      28,       0,       0,      23,      29,       0,       2,      10,      10
 4.30000E+001,      26,      26,       0,       0,      24,      30,       0,       2,       8,      10
 4.40000E+001,      25,      25,       0,       0,      25,      30,       0,       2,       6,      11
 4.50000E+001,      24,      24,       0,       0,      25,      31,       0,       2,       7,      10
 4.60000E+001,      21,      21,       0,       0,      26,      33,       0,       2,       5,       9
 4.70000E+001,      20,      20,       0,       0,      26,      34,       0,       2,       6,       8
 4.80000E+001,      19,      19,       0,       0,      27,      34,       0,       2,       5,       8
 4.90000E+001,      17,      17,       0,       0,      27,      36,       0,       2,       5,       6
 5.00000E+001,      16,      16,       0,       0,      27,      37,       0,       2,       5,       5
 5.10000E+001,      14,      14,       0,       0,      28,      38,       0,       2,       3,       5
 5.20000E+001,      13,      13,       0,       0,      29,      38,       0,       2,       2,       5
 5.30000E+001,      11,      11,       0,       0,      30,      39,       0,       2,       1,       4
 5.40000E+001,      11,      11,       0,       0,      30,      39,       0,       2,       1,       4
 5.50000E+001,      10,      10,       0,       0,      30,      40,       0,       2,       0,       4
 5.60000E+001,      10,      10,       0,       0,      30,      40,       0,       2,       0,       4
 5.70000E+001,      10,      10,       0,       0,      30,      40,       0,       2,       0,       4
 5.80000E+001,      10,      10,       0,       0,      30,      40,       0,       2,       0,       4
 5.90000E+001,       9,       9,       0,       0,      30,      41,       0,       2,       0,       3
 6.00000E+001,       9,       9,       0,       0,      30,      41,       0,       3,       0,       3
 6.10000E+001,       9,       9,       0,       0,      30,      41,       0,       0,       0,       3
 6.20000E+001,       9,       9,       0,       0,      30,      41,       0,       0,       0,       3
 6.30000E+001,       8,       8,       0,       0,      30,      42,       0,       0,       0,       2
 6.40000E+001,       8,       8,       0,       0,      30,      42,       0,       0,       0,       2
 6.50000E+001,       7,       7,       0,       0,      30,      43,       0,       0,       0,       1
 6.60000E+001,       7,       7,       0,       0,      30,      43,       0,       0,       0,       1
 6.70000E+001,       7,       7,       0,       0,      30,      43,       0,       0,       0,       1
 6.80000E+001,       7,       7,       0,       0,      30,      43,       0,       0,       0,       1
 6.90000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       0,       0
 7.00000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       1,       0
 7.10000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       1,       0
 7.20000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       1,       0
 7.30000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       1,       0
 7.40000E+001,       6,       6,       0,       0,      30,      44,       0,       0,       1,       0
 7.50000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 7.60000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 7.70000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 7.80000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 7.90000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.00000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.10000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.20000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.30000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.40000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.50000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.60000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.70000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.80000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 8.90000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
 9.00000E+001,       5,       5,       1,       0,      30,      44,       0,       0,       1,       0
