s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,MainEvacGrid,Exit1,Exit2,Exit3,Exit4,Exit1,Exit2,Exit3,Exit4,Number_of_Deads,FED_max,FED_max_alive
 0.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      19,      14,       0, 0.00000E+000, 0.00000E+000
 1.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      19,      15,       0, 0.00000E+000, 0.00000E+000
 2.20000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      19,      15,       0, 0.00000E+000, 0.00000E+000
 3.00000E+000,      80,      80,       0,       0,       0,       0,       0,       0,      19,      15,       0, 0.00000E+000, 0.00000E+000
 4.00000E+000,      79,      79,       0,       0,       1,       0,       0,       0,      20,      15,       0, 0.00000E+000, 0.00000E+000
 5.00000E+000,      79,      79,       0,       0,       1,       0,       0,       0,      20,      15,       0, 0.00000E+000, 0.00000E+000
 6.00000E+000,      77,      77,       0,       0,       2,       1,       0,       0,      20,      14,       0, 0.00000E+000, 0.00000E+000
 7.00000E+000,      76,      76,       0,       0,       2,       2,       0,       0,      21,      13,       0, 0.00000E+000, 0.00000E+000
 8.00000E+000,      75,      75,       0,       0,       3,       2,       0,       0,      20,      13,       0, 0.00000E+000, 0.00000E+000
 9.00000E+000,      73,      73,       0,       0,       4,       3,       0,       0,      19,      12,       0, 0.00000E+000, 0.00000E+000
 1.02000E+001,      72,      72,       0,       0,       4,       4,       0,       0,      19,      11,       0, 0.00000E+000, 0.00000E+000
 1.12000E+001,      70,      70,       0,       0,       6,       4,       0,       0,      17,      11,       0, 0.00000E+000, 0.00000E+000
 1.22000E+001,      70,      70,       0,       0,       6,       4,       0,       0,      17,      11,       0, 0.00000E+000, 0.00000E+000
 1.32000E+001,      68,      68,       0,       0,       7,       5,       0,       0,      16,      10,       0, 0.00000E+000, 0.00000E+000
 1.42000E+001,      66,      66,       0,       0,       8,       6,       0,       0,      16,       9,       0, 0.00000E+000, 0.00000E+000
 1.52000E+001,      64,      64,       0,       0,       9,       7,       0,       0,      15,       8,       0, 0.00000E+000, 0.00000E+000
 1.62000E+001,      62,      62,       0,       0,      10,       8,       0,       0,      14,       7,       0, 0.00000E+000, 0.00000E+000
 1.72000E+001,      60,      60,       0,       0,      11,       9,       0,       0,      13,       7,       0, 0.00000E+000, 0.00000E+000
 1.82000E+001,      58,      58,       0,       0,      13,       9,       0,       0,      11,       7,       0, 0.00000E+000, 0.00000E+000
 1.92000E+001,      57,      57,       0,       0,      13,      10,       0,       0,      11,       6,       0, 0.00000E+000, 0.00000E+000
 2.02000E+001,      54,      54,       0,       0,      14,      12,       0,       0,      10,       4,       0, 0.00000E+000, 0.00000E+000
 2.12000E+001,      53,      53,       0,       0,      15,      12,       0,       0,       9,       4,       0, 0.00000E+000, 0.00000E+000
 2.22000E+001,      51,      51,       0,       0,      16,      13,       0,       0,       8,       3,       0, 0.00000E+000, 0.00000E+000
 2.32000E+001,      50,      50,       0,       0,      17,      13,       0,       0,       7,       3,       0, 0.00000E+000, 0.00000E+000
 2.42000E+001,      50,      50,       0,       0,      17,      13,       0,       0,       7,       3,       0, 0.00000E+000, 0.00000E+000
 2.52000E+001,      49,      49,       0,       0,      18,      13,       0,       0,       6,       3,       0, 0.00000E+000, 0.00000E+000
 2.62000E+001,      49,      49,       0,       0,      18,      13,       0,       0,       6,       3,       0, 0.00000E+000, 0.00000E+000
 2.72000E+001,      48,      48,       0,       0,      19,      13,       0,       0,       6,       3,       0, 0.00000E+000, 0.00000E+000
 2.82000E+001,      48,      48,       0,       0,      19,      13,       0,       0,       6,       3,       0, 0.00000E+000, 0.00000E+000
 2.92000E+001,      47,      47,       0,       0,      20,      13,       0,       0,       5,       3,       0, 0.00000E+000, 0.00000E+000
 3.02000E+001,      46,      46,       0,       0,      21,      13,       0,       0,       5,       3,       0, 0.00000E+000, 0.00000E+000
 3.12000E+001,      45,      45,       0,       0,      21,      14,       0,       0,       5,       2,       0, 0.00000E+000, 0.00000E+000
 3.22000E+001,      44,      44,       0,       0,      22,      14,       0,       0,       4,       2,       0, 0.00000E+000, 0.00000E+000
 3.32000E+001,      43,      43,       0,       0,      23,      14,       0,       0,       5,       2,       0, 0.00000E+000, 0.00000E+000
 3.42000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       5,       1,       0, 0.00000E+000, 0.00000E+000
 3.52000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       5,       1,       0, 0.00000E+000, 0.00000E+000
 3.62000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       5,       1,       0, 0.00000E+000, 0.00000E+000
 3.72000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       5,       1,       0, 0.00000E+000, 0.00000E+000
 3.80000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       6,       1,       0, 0.00000E+000, 0.00000E+000
 3.90000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       6,       1,       0, 0.00000E+000, 0.00000E+000
 4.00000E+001,      42,      42,       0,       0,      23,      15,       0,       0,       6,       1,       0, 0.00000E+000, 0.00000E+000
 4.10000E+001,      41,      41,       0,       0,      23,      16,       0,       0,       6,       0,       0, 0.00000E+000, 0.00000E+000
 4.20000E+001,      41,      41,       0,       0,      23,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 4.30000E+001,      41,      41,       0,       0,      23,      16,       0,       0,       8,       0,       0, 0.00000E+000, 0.00000E+000
 4.40000E+001,      40,      40,       0,       0,      24,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 4.50000E+001,      40,      40,       0,       0,      24,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 4.60000E+001,      39,      39,       0,       0,      25,      16,       0,       0,       6,       0,       0, 0.00000E+000, 0.00000E+000
 4.70000E+001,      39,      39,       0,       0,      25,      16,       0,       0,       6,       0,       0, 0.00000E+000, 0.00000E+000
 4.80000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       5,       0,       0, 0.00000E+000, 0.00000E+000
 4.90000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       5,       0,       0, 0.00000E+000, 0.00000E+000
 5.00000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       5,       0,       0, 0.00000E+000, 0.00000E+000
 5.10000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 5.20000E+001,      38,      38,       0,       0,      26,      16,       0,       0,       7,       0,       0, 0.00000E+000, 0.00000E+000
 5.30000E+001,      37,      37,       0,       0,      27,      16,       0,       0,       7,       0,       0, 7.60133E-006, 7.60133E-006
 5.40000E+001,      37,      37,       0,       0,      27,      16,       0,       0,       7,       0,       0, 1.68713E-005, 1.68713E-005
 5.50000E+001,      36,      36,       0,       0,      28,      16,       0,       0,       7,       0,       0, 2.69903E-005, 2.69903E-005
